Name,Year,Country,qty
Lajat Leonard & Marie,2008,france,2
Lajugie-Farges Marguerite,1996,france,1
Lalande Desire,1993,france,1
Lalanne Jean-Baptiste & Marie,1998,france,2
Lallee Gilberte (Masnier),2017,france,1
Lallement Pierre-Henri,2003,france,1
Lallement Aimee-Marie,1980,france,1
Lalo Germaine,1994,france,1
Lamaniere Eugene & Marthe (Mazuel),2010,france,2
41 Lamargie Jean & Rachel (Picaud),2015,france,2
Lamaud Claire,1994,france,1
Lambert Andre & Adele,1996,france,2
Lamboux Jeanne,2019,france,1
Lamotte Francois & Therese; ch: Lucie Alice Maria,1994,france,3
Lance Anne-Marie,2013,france,1
Lancon Joseph & d. Therese Neury,1989,france,2
Landeau Auguste & Marie,2001,france,2
Landes Hubert,2019,france,1
Landi Giuseppe & Henriette (Forlino) & dght. Yvonne Borowski,2012,france,3
Landre Lucie,1993,france,1
Laneurie Juliette & Pierre-Aime,1992,france,2
Langlais Armandine (Avice),2010,france,1
Langlois Edmond & Adeline,2003,france,2
Langlois Eugene & Alexandrine Amelie (Bernard) & daughter Suzanne,2014,france,3
Lanier Roger & Daisy,1994,france,2
Lanoux Gabriel & Marie-Louise,2007,france,2
Lapeyre Francoise,1994,france,1
Lapeyre Jean-Marie & dghtrs. Nathalie & Germaine,2008,france,3
Lapeyrere Jules,2004,france,1
Lapicque Charles & Aline,2000,france,2
Lapierre Dominique,2014,france,1
Laplace Robert & Annunciata,2012,france,2
Laporterie Raoul,1976,france,1
Laquieze Adrienne,1998,france,1
Larchet Paul & Georgette,1994,france,2
Larigaudiere Marcelle (Delubes),2014,france,1
Laroche Lily,2021,france,1
Laroche-Ficher Alice,1994,france,1
Larrazet Pierre & Cecile,1992,france,2
Larribau Jean-Elie & Lucie,1995,france,2
Larroque Marie,2004,france,1
Lartigue Pierre,2018,france,1
Larue Theophile & Madeleine,2007,france,2
Lascoux Casimir,2007,france,1
Lasfargues Emile & Lily,2016,france,2
42 Lasne Hermine,2005,france,1
Lassort Zelie Jeanne (Salles) & her dght-in-law Henriette (Puzo),2011,france,2
Lassoureille Marthe & husband,1998,france,2
Laumier Andre & Hortensia (van Vanghe),2016,france,2
Laurain Berthe,1986,france,1
Laurencin Louis & Germaine (Guillaud),2012,france,2
Laurens Pierrette,2002,france,1
Laurent Abdon,1997,france,1
Laurent Albert & nephew Mathilde,2001,france,2
Laurent Andre & Lucienne,1993,france,2
Laurent Jeanne (Thevenet) & parents: Thevenet Pierre & Marguerite,1994,france,3
Laurent Louise; daughter Paulette,1993,france,2
Laurent Yvonne,2000,france,1
Lauret Georges,2004,france,1
Lauria Louis Vincent,1989,france,1
Laurier Angele (Ladevil),2017,france,1
Lautre Charles & Andree,1994,france,2
Lavaud Francois & wife,1992,france,2
Lave Catherine,1998,france,1
Lavialle Jeanne,1999,france,1
Lavillonniere Clement & Clementine,2005,france,2
Lavis (Neron) Gabrielle,1976,france,1
Laybros Antoine & Henriette,1997,france,2
Lazerme Victorine,2008,france,1
Le Bris Pierre & Anne-Marie,1999,france,2
Le Caherec Sister Anne-Marie,1992,france,1
Le Cardinal Francois & Francoise (Laquay),2010,france,2
Le Cazoulat Louis & Suzanne,2017,france,2
Le Donne Pierre,1997,france,1
Le Guales de Mezaubran Adolphe & Gilberte,1999,france,2
Le Guellec Alfred & Augustine (Guichard),2011,france,2
Le Guennan-Herry Monique,1999,france,1
Le Guillant (Le Henaff) Germaine,1986,france,1
Le Hello Simonne,2013,france,1
Le Lay Jean-Francois,2016,france,1
Le May Augustine,2007,france,1
43 Le Pelley du Manoir Henriette,2006,france,1
Le Quere Guillaume & Marie (Droniou),2016,france,2
Leaustic Jean,2002,france,1
Lebarbier Pauline,1996,france,1
Lebas Andre & Mathilde,2005,france,2
Leblanc Marie-Louise,1994,france,1
Leboucher Fernande,1973,france,1
Leboutet Laurent,1973,france,1
Lebrat Daniel & Yvonne (Valla),2015,france,2
Lebreil Edouard & Alice,2006,france,2
Lebrun Pierre & Marthe (Jamard),2009,france,2
Lecanuet Jean,1975,france,1
Lecas Emile & Marguerite,1998,france,2
Lecocq Julienne & her aunt Dequirez-Degryse Helene,2013,france,2
Lecomte Paul & Fernande (Genilleau),2012,france,2
Leconte Lucien,2016,france,1
Lecoq Albert & Noelie Elia,1997,france,2
Lecoq Henri & Marie Solange (Hamel),2011,france,2
Lecureur Germain; brother Camille,1990,france,2
Ledain Roger,1989,france,1
Ledier Marie,1997,france,1
Leenhardt Pastor Roland,1991,france,1
Leenhardt Suzelly,1967,france,1
Lefebvre Germaine,1995,france,1
Lefebvre Henri & Reine M. (Albert),2011,france,2
Lefebvre Leon & Simonne,2008,france,2
Lefevre Victor & Germaine,2011,france,2
Lefrancois Pierre & Georgette,2005,france,2
Legars Mme. & daughters Cecile Therese,1990,france,2
Leger Auguste & Ennat,1979,france,2
Leglaive Pierre & Raymonde,1999,france,2
Legout Marie (Gilles),2013,france,1
Legras Alice,1999,france,1
Legrip Joseph & Lea,2008,france,2
Lehmann Jeanne,1986,france,1
Leix Germain & Marguerite,1991,france,2
Leluan Maxime,1993,france,1
44 Lemaigre Louis & Euphrasie (Bregegere),2010,france,2
Lemaire Pasteur Jean Severin,1976,france,1
Lemarchands Maurice & Andree,1989,france,2
Lemeunier Serge & Angelique,1997,france,2
Lemoulle Pierre,2001,france,1
Lempereur Pierre,2011,france,1
Leocournet Louis & Louise (Frizot),2016,france,2
Leonlefranc Hippolyte & Emilie (Gatien),2011,france,2
Lepec Albert & Gabrielle,1999,france,2
Lepileur Ernest & Renee; d. Denise Levallois,1996,france,3
Lepinay Alexis & Helene & son Marcel,2015,france,3
Lepine Aime & Marcelle-Andree,1984,france,2
Lepoire Francois,1989,france,1
Lequien Andre & Antoinette,1988,france,2
Lequin Albert & Gabrielle,2003,france,2
Lerat Georges,2010,france,1
Lermine Louis Marius & Lucie Maria (Guiraud),2013,france,2
Leroux Jean-Marie & sister Marie-Therese,2006,france,2
Lerouxel Suzanne,1998,france,1
Leroye Mlle.,1975,france,1
Lesage Gaston & Lucette & son Jean,1999,france,3
Lesage Gilbert,1985,france,1
Lescanne Urbain & Gabrielle,1996,france,2
Lescure Pierre & Rosalie dght. Maria Destruel,2007,france,2
Lesiourd Georges,2019,france,1
Lesueur Raymond,2013,france,1
Letoffe Charles,2016,france,1
Leuillet Georges Jean & Germaine (Saupic),2011,france,2
Leuillet Henri & Marie (Diennet),2011,france,2
Levallois Andree,1998,france,1
Levavasseur Marcel & Claire (Obert),2012,france,2
Leveugle Angelina,2000,france,1
Lhermet Pasteur Raoul,1985,france,1
Liaume Roger & Genevieve,1988,france,2
Libera Gina,2006,france,1
Licini Marthe; son Alphonse,2005,france,2
Lignot Pierre & Marguerite (Quiot),2011,france,2
45 Lignoux Alexis & Augustine; daughter Odette,2004,france,3
Linossier Paul,2017,france,1
Lipner Katherine,1994,france,1
Lirou Lucien,2013,france,1
Litez-Tiverval Robert & Louise (Leclerc),2021,france,2
Lizzardi Francois Virgile & Henriette (Biasetti),2010,france,2
Llinares Eusebie & Fanny (Mandon),2009,france,2
Llobet Soeur Anne-Marie,1986,france,1
Lobgeois Edgar,1993,france,1
Loeffert (Cyferman) Albonea,1985,france,1
Loilier Fernande & Albert,1976,france,2
Loire Paulette,1980,france,1
Loiseau Suzanne (Chevalley),2006,france,1
Lombard Raymonde,1975,france,1
Long Alfred & Helene J.A. (Prunier),2012,france,2
Longagna Victor,2007,france,1
Longchamp Albert,1998,france,1
Longeray Abbe Claudius,1989,france,1
Longueville Louise,2011,france,1
Lorfeuvre-Dequatre Angele,1999,france,1
Lorimier Simone (Maurel),2013,france,1
Louault Bernard & Jeanne-Marie,2002,france,2
Loubeau Marcel & Antoinette,2012,france,2
Louis Jean & Eleonore (Meyer),2010,france,2
Louradour Elie & Lea,2005,france,2
Louveau Georges & Marie,1999,france,2
Louyot Lucien,1991,france,1
Luciani Dolinda,1995,france,1
Lugan Jean & Elisabeth (Goffinet),1989,france,2
Luyat Gaston,1993,france,1
Luzet Isaure,1988,france,1
Mabon Henri & Gilberte,1991,france,2
Mace Louis & Simone,2014,france,2
Macon Lazare Louis & Marthe Leonie (Flammang),2009,france,2
Macouin Clovis & Clementine,1999,france,2
Magaud Paul & Rose (Ferrand),2012,france,2
Magendie Pierre & Louise (Mouliot),2010,france,2
46 Magimel Gabriel & Leonie (Castanet),2010,france,2
Magnet Georges,2016,france,1
Magnier Arthur & Cecile,2008,france,2
Magnin Louis & Marie Louise,2011,france,2
Mahieu-Bobin Valentine,2001,france,1
Mailland Mollard Jean-Francois & Adelaide,2013,france,2
Maillard Renee,2006,france,1
Maillard Yvonne,2007,france,1
Maindron Henri & Jeanne,1979,france,2
Mairesse-Doise Simone,1988,france,1
Maitre Armand & Henriette (Forget),2017,france,2
Majeste Pierre,1995,france,1
Malais Rene & Jeanne,2004,france,2
Male Fernand & Renee (Besnard),2021,france,2
Malecot Henri,2013,france,1
Malecot Louis,2008,france,1
Maligner Marcel & Marie (Jourde),2010,france,2
Maljean Louis & Melanie son Camille,2006,france,2
Mallen Jean,2002,france,1
Mallet Victor & Pauline (Wirtgen),2008,france,2
Maloberti Marcel & Suzanne,2019,france,2
Malolepszy Sister Madeleine,1992,france,1
Mandon Emile & Noemie Marie (Vergnon),2009,france,2
Manen Pasteur Henri & Alice,1986,france,2
Manen Raoul,2009,france,1
Mangon Landry Jules & Adrienne (Caffarel),2009,france,2
Marandet Maurice & Louise,2002,france,2
Maraval Roger & Marcelle,2001,france,2
Marbouty Pierre,2021,france,1
Marceillac Jeanne (Chamayou),2008,france,1
Marcelot Georges & Jeanne-Marie,1994,france,2
Marchal Emile & Camille,2004,france,2
Marchand Auguste & Hortense,2014,france,2
Marchand Victor & Mrs; d. Micheline,1989,france,3
Marche Pierre; son Pierre,1991,france,2
Marchetti Catherine; d. Albertine,1996,france,2
Marchoix Andre & Jeanne & son Roland,2017,france,3
47 Mare Raymond & Jeanne (Delpierre),2007,france,2
Marechal Josephine (Girault),2017,france,1
Mares Laure and husband,1991,france,1
Mari Jacques & Caroline (Bollie),2009,france,2
Marie Emile J. & Josephine; ch: Leonie Janine Micheline,1994,france,3
Marie Pierre,1982,france,1
Marmajou Line,1997,france,1
Marmouget Joseph & Jeanne; d. Marie,1992,france,3
Marnet Jean & Marguerite,1988,france,2
Marouze Leon & Blanche,2008,france,2
Marquehosse Marie-Josephe (Larradet),2014,france,1
Marquet Abbe Eugene,1988,france,1
Marquillie Emile & Pauline,1971,france,2
Marre Abel & Marthe,2017,france,2
Marsat Edouard,1995,france,1
Marsaud Georges & Juliette (Jeanrot),2019,france,2
Marsollier Suzanne,2005,france,1
Marsot Adrienne,2005,france,1
Marteau Marie,1990,france,1
Martin Constant & Henriette,2005,france,2
Martin Albert & Juliette,1999,france,2
Martin Andre,2013,france,1
Martin Henri & Marie,2001,france,2
Martin Henri & Noelie,2016,france,2
Martin Jacques & Jacqueline,1998,france,2
Martin Marie-Louise; d. Marie Pontonnier,1996,france,2
Martin Marius,1998,france,1
Martin Pasteur Gaston-Charles & Simone,1989,france,2
Martin Raymond & Julia,2003,france,2
Martinand Louise (Genod),2010,france,1
Martin-Daunet Simone,1992,france,1
Martineau Henri & Suzanne,1998,france,2
Martinet Elisabeth,1982,france,1
Martinez Magdalena,1993,france,1
Martire Michel,2009,france,1
Marty Marcel & Olga; mother Jeanne Louis,2005,france,3
Marty Andre-Felix,1990,france,1
48 Marty Celine,2008,france,1
Marty Jean Francois,1985,france,1
Mary George & Yvonne,1989,france,2
Marzellier Helene,1978,france,1
Mascarello Raymond,2003,france,1
Massa Auguste & Marie,2002,france,2
Masserey Soeur Antoinette,1979,france,1
Massoc Roger & Marie-Louise (Gabourin),2011,france,2
Masson Emilienne (Gaudichot),2015,france,1
Masson Pierre & Alice,1987,france,2
Massonnat Marie,1997,france,1
Mater Gaston & Therese,2006,france,2
Mathery Paul,2002,france,1
Mathes Josephine,2009,france,1
Mathieu Camille & Denise; her mother Blanche,1976,france,3
Mathieu Henri & Marcelle,1994,france,2
Mathieu Rene & Henriette,1996,france,2
Mathurin Georges & Juliette,2001,france,2
Matignon Pierre & Eva (Faure) & son Jacques,2021,france,3
Matinier Michel & Marie-Louise & dght. Paule Trebosc,1987,france,3
Matringe Auguste,2000,france,1
Matter Sister Annette,1993,france,1
Matter Therese,1990,france,1
Maublanc Henri & Louise,1997,france,2
Mauger Pierre & mother Elisabeth,2008,france,2
Maurel Henri & Berthe,2007,france,2
Maurice Rene & Yvonne,2005,france,2
Maurice Ernest & Yvonne (Chardon),2011,france,2
Maurier Felix Jean & Marie Antoinette (Burdet),2016,france,2
Mauro Louis & Angele,1973,france,2
Maussion Rene & Marie,2004,france,2
Maute Armande,2021,france,1
May Jean & Eugenie; ch: Roger & Germaine,1988,france,4
May Simone,1994,france,1
Mayeux Hubert & Emilia (Bodin),2011,france,2
Mayoud Maurice,1997,france,1
Mayrand Father Auguste,1990,france,1
49 Mazas Raymond & Francoise,2003,france,2
Mazaureix Alfred & Marie Odile ( Brossel),2010,france,2
Mazeau Georges & Marie-Louise,2001,france,2
Mazet Georges,2000,france,1
Mazet Henriette,1987,france,1
Mazier Laurent & Marie (Viateau) & her mother Catherine Viateau (Chassaing),2007,france,3
Maziere Louis,2013,france,1
Mazoyer Alphonse & Noemie (Riffard) son Firmin,2009,france,2
Medard Marcel & Mariette,1989,france,2
Medee Marcel & Marie,2006,france,2
Meilhan Joseph & Eugenie; daughter Lydie,1991,france,3
Melas Louis & Marguerite,1995,france,2
Melisson Francis & Julienne,2008,france,2
Mellange Marie,1989,france,1
Melli Humbert & Gabrielle,2001,france,2
Melon Jean & Suzanne,2005,france,2
Menard Roger & Madeleine,1995,france,2
Menardais Henri,1997,france,1
Menerat Marie; d. Suzanne Leulier,1994,france,2
Menetrier Robert & Suzanne,1992,france,2
Menigault Rodolphe & Marie Madeleine (Cribellier),2013,france,2
Menou Marie-Louise,2007,france,1
Menthonnex Joseph & Georgette,1996,france,2
Menuisier Adrien & Celine,1999,france,2
Mercier Paul & Cecile (Perreau),2012,france,2
Mercier Suzanne,1989,france,1
Merland Paul & Paule (Reynaud),2015,france,2
Merland Paulette,2014,france,1
Merle Andre,1982,france,1
Merlette Suzanne,2005,france,1
Merli Pierre,1975,france,1
Merlin Pierre & Odile,2005,france,2
Merly Jean & Blanche,1999,france,2
Mermet Joseph & Cecile,1989,france,2
Merveilleau Georges & Jeanine (Cazenave),2021,france,2
Mery Jean & Jeanne,1994,france,2
50 Mesnage Andre & Clementine (Maincent),2015,france,2
Mesple-Somps Albert-Victor & his mother Mme Mesple-Somps,1989,france,2
Mesple-Somps Gaston with wife,1989,france,1
Mesple-Somps Henriette,1989,france,1
Mesureur Marie-Germaine & daughter Renee,2000,france,2
Metais Odette,2000,france,1
Mettenet Eugenie,1989,france,1
Metton-Bonamour Marie,1979,france,1
Meunier Helene & Marie-Adolphe,2004,france,2
Meunier Jean,1994,france,1
Meunier Jeannette,1998,france,1
Meyer Hubert,1989,france,1
Michel Adrienne,2005,france,1
Michelet Edmond,1995,france,1
Michelis Madeleine,1998,france,1
Migneret Joseph,1990,france,1
Mignot Yvonne,1982,france,1
Mignotet Georges & Jeanne (Hatier),2012,france,2
Milelli Louis,2006,france,1
Miltsztayn Lucienne (Daniel),2014,france,1
Mingat (Lerme) Anne-Marie & her mother Marthe Lerme,1982,france,2
Miolan Ismael & Lucienne (Roubaud),2014,france,2
Mirat Jean & Marie (Boussaguet),2019,france,2
Mitaine Ernest & Marthe (Gilles),2021,france,2
Mitault Suzanne; daughter Madeleine,1997,france,2
Mitteau Georges & Lucienne,2000,france,2
Molino Blanche,1967,france,1
Molle Charles & Aimee,1999,france,2
Monacelli Jeanne (Fouraste),2012,france,1
Moncet Yvonne,2017,france,1
Monna Louis & Henriette,1991,france,2
Monnais Therese,1995,france,1
Monnier Charles & Marie,2004,france,2
Monnier Simone,2013,france,1
Monod Gerard & Madeleine,2005,france,2
Monod Pastor Charles & Madeleine,1996,france,2
51 Montalibet-Cazaux Leodie,1995,france,1
Montebran Raoul & Marie A. (Tremblay),2010,france,2
Monteillet Marie (Mere Anselme),2009,france,1
Montet Adrien,2001,france,1
Monthuzet Marc,2012,france,1
Montier Marius & Marguerite,1994,france,2
Mopty Abbe Pierre,1989,france,1
Mora Elise,2007,france,1
Mora Theodore,2007,france,1
Morali Celine (Demarez),2015,france,1
Moreau Albert & Marguerite,2008,france,2
Moreau Alice (Poisbelaud),2014,france,1
Moreau Francois & Marie-Louise (Charpentier),2010,france,2
Moreau Pierre & Simone,2002,france,2
Morel Ferdinand & Marie (Veuillot),2011,france,2
Morel Leon & Pauline (Lebrat),2011,france,2
Morel Pastor Andre,1990,france,1
Morel Pierre & Danielle,2003,france,2
Morin Aurelien & Julienne (Mutel),2021,france,2
Morin Gabrielle,2009,france,1
Morin Henri,1965,france,1
Morin Lucie Berthe,1982,france,1
Morisse Henri & Therese,2015,france,2
Morlon Maurice,1971,france,1
Mossuz Leon son Gaston,2006,france,1
Moucot Pierre,2004,france,1
Moulin Etienne,1997,france,1
Moulinet Emile,1999,france,1
Mounier Simone,1969,france,1
Moussaron Jean (Bishop),2009,france,1
Mousselin Roger & Andree,1996,france,2
Mousson Auguste-Emil & Maria E.,1992,france,2
Mouthon Dimitri L.,1996,france,1
Moyer Remy Francois & Louise Armandine (Glaume),2012,france,2
Muehlenthaler Germaine,1967,france,1
Muller Lucienne,2017,france,1
Muller Rene,1996,france,1
52 Muller Roger & Esther,2003,france,2
Mullet Robert & Lea,1989,france,2
Munch Eugene & Elizabeth,2001,france,2
Munier Clemence (Lenoir),2008,france,1
Murat Mere Marie-Angelique,1996,france,1
Muret Antoine & Jeanne,2000,france,2
Muron Jacques & Antonia,2001,france,2
My Claudia (Bardet),2007,france,1
Nabineau Rene & Jeanne,2005,france,2
Nadaud Marcel & Maximilienne (Chapuis),2017,france,2
Naffrechoux Francois & Leontine,1998,france,2
Nallit Jean,1992,france,1
Naude Albert & Simone,2000,france,2
Navailles Gabrielle (Davantes),2014,france,1
Navarro Emma (Sister Agnese),2010,france,1
Naville Therese,1995,france,1
Negre Zoe & daughter Berthe (Lantheaume),1998,france,2
Neroud Benoit & Annette,2011,france,2
Neubert France,1990,france,1
Neveu Pierre & Berthe (Leroyer),2010,france,2
Nick Pastor Henri,1992,france,1
Nick Pierre-Elie & Odile,1992,france,2
Nicol Andree,2007,france,1
Nicolas Antoinette,2000,france,1
Nicolas Louis-Joseph & Meliane,2002,france,2
Nicolaud Emile & Louise,2003,france,2
Nicolini Pierre,2008,france,1
Nicolot Alexandre,2003,france,1
Nizier Desire & Marie,2004,france,2
Nodot Prof. Rene,1974,france,1
Noel Lucien & Marie,1998,france,2
Noel Marcelle,2003,france,1
Nogier Gaston,2011,france,1
Nonorgues Lucie (Sr. Emilia),2008,france,1
Nottre Jules & Albertine (Riou),2020,france,2
Nouhaud Pierre & Marie,1998,france,2
Nugeyre-Tenenboim Simonne,2004,france,1
53 Oddon Jean & Reine,1988,france,2
Oesch Louis & Ketty,1967,france,2
Ogier Pierre & Henriette,1997,france,2
Olinger Charlotte,2006,france,1
Olives Pasteur Laurent & Suzanne,1996,france,2
Olivet Pierre,2000,france,1
Olivier Jean,2008,france,1
Olivier Marguerite (Sister),2001,france,1
Ollivier Jean E.. & Nancy J.,1989,france,2
Ongaro Louis & Yvonne,1999,france,2
Ordan Jean,2015,france,1
Ordan Joseph Xavier & Henriette (Lantery),2015,france,2
Ordy Jean Marie & Clemence Berthe (Ratier),2010,france,2
Orgeval Jean & Andree,1996,france,2
Orlhac Betty,1997,france,1
Orsi Hermine,1985,france,1
Orveillon Anne-Marie (Gouvary),2009,france,1
Orzakiewicz Karol & Marie,1983,france,2
Osselin Blanche & her father Leopold Blineau,2004,france,2
Osterberger Louise,1997,france,1
Ottino Cesar & Marie-Jeanne,1970,france,2
Oudard Helene,2000,france,1
Ouillon Louis & Antonia,1996,france,2
Owczarek Henriette & Joseph,1971,france,2
Pache Louis & Franceline,1979,france,2
Pacteau Marie Eugenie (Baumard),2009,france,1
Page Pierre & Marguerite,2005,france,2
Page Hippolyte & Alphonsine,2000,france,2
Pages Henriette,1997,france,1
Pages-Hugel Marguerite,1991,france,1
Pagnon Bertrand & Marie dght. Honorine Abribat,2007,france,2
Paillard Eugene & Valentine (Lepourreau),2014,france,2
Paillard Marie,1998,france,1
Paillassou Irene & sister Renee,1983,france,2
Palaci Joseph Rene & Marthe (Pages),2019,france,2
Pallares Jean,1999,france,1
Pallares Marie-Antoinette; ds. Rene Paulette,1996,france,2
54 Palluel-Blanc Jean Baptiste & Marie-Louise,2012,france,2
Palon Rosa & dght. Helene Doret,2008,france,2
Palus Marina,2003,france,1
Pannelay Sister Marie-Louise,1992,france,1
Papillon Joseph & Leontine (Lacroix),2013,france,2
Papillon Therese Jeanne Marie,2016,france,1
Papin Juliette; daughter Suzanne Menard,1996,france,2
Paquien Augusta,2010,france,1
Paraud Andre & Helene,2003,france,2
Parcellier Emile & Marie (Arthur),2013,france,2
Paree Maurice & Marcelle & daughter Mauricette,1998,france,3
Parent Abbe Jean,1970,france,1
Parent Alphonse & Lisa,2002,france,2
Paret Marcelle,2011,france,1
Parigny Francois & Angele (Vaudouer),2015,france,2
Parion Simone-Marie,1992,france,1
Paris Augustin & Georgette (Guyard),2017,france,2
Pariset Jeanne (Sister Marie-Julienne),2011,france,1
Parisey Armand & Mathilde,2004,france,2
Parnot Edouard,1991,france,1
Parre Eloi & Marguerite,2001,france,2
Parry Marie-Louise & sons Gerard Bernard & Gerard Guy,2007,france,3
Pascal Georges & Lucie,1994,france,2
Pasche Pastor Marcel,1992,france,1
Pasqualini Paul & Anna,1999,france,2
Pasquet Simone,2012,france,1
Pasquette Emile & Marie-Jeanne (Navarre),2012,france,2
Pasquier Andree A.,2010,france,1
Pasquier Gilbert,2012,france,1
Pasquine Marguerite,2004,france,1
Passeman Charles & Gabrielle,1997,france,2
Patoux Juliette & Gaston,1971,france,2
Patras De Campaigno-Beghin Yvonne,1988,france,1
Patris Omer & Elise,2004,france,2
Patrolin Andre,2008,france,1
Pattyn Alphonse & Jeanne,1975,france,2
Paturel Yvon & Paulette,2015,france,2
55 Pauchard Pierrette (Guyard),2011,france,1
Paulin Jean & Georgette,2000,france,2
Paulin Louis & Josephine,1994,france,2
Pauly-Santoni Andree,2005,france,1
Pauthe Georges,2005,france,1
Pava Clotilde,1982,france,1
Pavot Anne-Marie (Parisot),2011,france,1
Pavy Suzanne (Merten) & her nephew Roger Merten,2009,france,2
Payen Edouard & Therese (Robin),2011,france,2
Payot Abbe Andre,1979,france,1
Pean-Pages Evangelina,2001,france,1
Peatier Andre,1979,france,1
Pedrelli Ferrucio & Suzanne,2015,france,2
Pees Lucie,1996,france,1
Pegaz Raymond & Amelie; sister Renee; mother Marie-Therese,2001,france,4
Pelaud Leone & Justin,2013,france,2
Pelin Marie,1996,france,1
Pelissier Samuel & Leonie,1988,france,2
Pellacoeur Henri & Alice (Doucet),2010,france,2
Pellet Paul & Cecilia (Desbands),2012,france,2
Pelletier Jacques & Louise,1993,france,2
Pellissier Andree,1987,france,1
Pelous Alice,1990,france,1
Peloux Pasteur Edmond & Marie,1984,france,2
2003 Peltel Yvonne L. M.,1997,france,1
Penicaud Henri & Marie Berthe (Gane),2014,france,2
Perard Jean & Georgette (Cambe),2012,france,2
Peraud Jean & Blanche,1978,france,2
Peraudeau Marius,1992,france,1
Perillat Francois,1989,france,1
Permanne Georgette,1999,france,1
Pernoud Pere Gilbert,1987,france,1
Perpetue-Marquet Pierrette,1998,france,1
Perret Georges & Amelie,1997,france,2
Perret Leon,1979,france,1
Perret Madeleine & parents: Richard Gustave & Lucienne,1997,france,3
56 Perret Roger & Esther,2006,france,2
Perrier Charles & Alice (Expert),2011,france,2
Perrier Pierre & Melanie & daughter-in-law Simone,2008,france,3
Perrin Leonie,2004,france,1
Perrin Joseph-Marie,1999,france,1
Perrin Marcel & Raymonde; d. Jacqueline,1992,france,3
Perrod Georges & Maria,1995,france,2
Perrot Andre & Jane,1971,france,2
Perrot Francois & Marie dght. Marguerite,2006,france,2
Persillon Gerard,2014,france,1
Perthuis Lucien & Elise,2006,france,2
Pes Silvio & Armida,2020,france,2
Peteuil Emmanuel & Eugenie,2008,france,2
Petit Louis & Lea (Sanvert),2008,france,2
Petit Rene & Lucienne (Chaintreau),2010,france,2
Petitgenet Ernest & Ermence & daughter Marthe,2000,france,3
Petri Dr. Fritz-Frederic,2021,france,1
Peyrabout Jean-Baptiste & Berthe (Mainguain),2017,france,2
Peyronnet Fernand,2001,france,1
Peysson-Ivens Jeanne,1998,france,1
Pezeril Monsig. Daniel,1994,france,1
Pfister Auguste & Helene,1973,france,2
Pfleger Albert,1981,france,1
Phal Anne Marie (Cas),2015,france,1
Philbert Gabriel & Simonne,2006,france,2
Philip Mireille,1976,france,1
Philippe Adrien & Germaine,1996,france,2
Philit Eva,1988,france,1
Phillipe Jean,1995,france,1
Picco Delphin & Antoinette,2001,france,2
Pichoff Jean & Georgette; d. Simone,1982,france,3
Pichon Henriette (Dautrey),2010,france,1
Pichon Raymond,1997,france,1
Picot Edouard & Judith,1998,france,2
Picot Lucien,1989,france,1
Piedallu Raymonde,2008,france,1
Piel Armand Victor & Marie-Therese (Potrel),2009,france,2
57 Pierre Aline,2009,france,1
Pierre Francois & Marie Germaine (Pouillot),2010,france,2
Pierre Henri & Yvonne Lireau-Pierre (Farge),2019,france,2
Pierre-Tschieret-Geringer Suzanne A.,1997,france,1
Pierron Annette & mother Camille,2006,france,2
Pierrot Georges,2008,france,1
Pignard Jacques & Felicie (Berry),2014,france,2
Piguet Gabriel,2000,france,1
Piguet Robert & Line; daughter Janine,1997,france,3
Pilaudeau Ernest & Jeanne,1974,france,2
Pilliere Marius & marie,1998,france,2
Pilpoul Odette,2002,france,1
Pinck Alfred & Lucie; daughter Henriette,1996,france,3
Pinet Jeanne (Sr. Dominique),2001,france,1
Piney Louise (Sister Elisabeth),2008,france,1
Pinget Marcel & Germaine,1993,france,2
Pinget Marie,1993,france,1
Pingiczer Ladislas (Fr. Etienne),1981,france,1
Pinguet Anne Marie,2008,france,1
Pinot Francois,1990,france,1
Pinson Pierre,2012,france,1
Piton Pierre,1989,france,1
Pittet-Priacel Genevieve,1993,france,1
Pivon Martial Claudius & Lucienne (Lecourtier),2019,france,2
Placide Mere Marie,1981,france,1
Pladepousaux Pierre & Marie & children: Marie & Jeanne,2000,france,4
Plaindoux Amedee & Rose (Gleize),2016,france,2
Plan Maurice & Alice,2001,france,2
Planckaert Pere Emile-Joseph M.,1972,france,1
Plancoulaine Marcel Antoine & Marie-Jeanne (Beugnon),2013,france,2
Planes Ernest & Lucie (Parribere) & dght. Emma Dubourdieu,2021,france,3
Planty Paul,1994,france,1
Plasse Louise-Jeanne & d. Madeleine (Clair),1976,france,2
Plegades Louis & Julie,2004,france,2
Poignard Rene & Marguerite (Larousse),2017,france,2
Poirier (Prous) Pierrette-Marcelle (Cathie),1979,france,1
58 Poizat Marcel & Elise,1990,france,2
Poli Dominique & Marie Francoise (Barbetti),2012,france,2
Pollex Pasteur Roland,1984,france,1
Pommay Suzanne,1995,france,1
Pommes Jean & Marie-Jeanne,2003,france,2
Ponson Lucien & Henriette,2010,france,2
Portal Yvette,1990,france,1
Porte Marcelle,2014,france,1
Portier Azeline-Louise,2003,france,1
Potonnier Francois & Anna,1996,france,2
Pottier Louis & Rolande,1998,france,2
Potvin Marthe Marie (Grard),2007,france,1
Pouget Maurice Henri & Elvire Melanie (Brabant),2011,france,2
Poujol Paul & Lily,1990,france,2
Poulet Fernand,2008,france,1
